Appliances,T_out,RH_out,Windspeed,T1,RH_1,T2,RH_2,hour,day_of_week
0.04672897196261682,0.37299035369774913,0.8947368421052632,0.5,0.32734952481520607,0.5661865883863879,0.2253452871335102,0.6840378667166555,0.7391304347826086,0.0
0.04672897196261682,0.3692390139335476,0.8947368421052632,0.4761904761904764,0.32734952481520607,0.5413264838088241,0.2253452871335102,0.6821398444090351,0.7391304347826086,0.0
0.03738317757009346,0.3654876741693463,0.8947368421052632,0.4523809523809521,0.32734952481520607,0.5305017888267134,0.2253452871335102,0.6794451213796989,0.7391304347826086,0.0
0.03738317757009346,0.3617363344051447,0.8947368421052632,0.42857142857142855,0.32734952481520607,0.5240803596000378,0.2253452871335102,0.6784140969162994,0.7391304347826086,0.0
0.04672897196261682,0.357984994640943,0.8947368421052632,0.40476190476190493,0.32734952481520607,0.5314191358590947,0.2253452871335102,0.6767269659761924,0.7391304347826086,0.0
0.03738317757009346,0.3542336548767418,0.8947368421052632,0.38095238095238065,0.32734952481520607,0.5229795431611792,0.2253452871335102,0.675883400506139,0.7391304347826086,0.0
0.04672897196261682,0.3504823151125402,0.8947368421052632,0.3571428571428571,0.32734952481520607,0.5158242363085968,0.2253452871335102,0.675883400506139,0.7826086956521738,0.0
0.04672897196261682,0.3510182207931405,0.8925438596491223,0.36904761904761924,0.323829637451605,0.5101366847078255,0.2253452871335102,0.675883400506139,0.7826086956521738,0.0
0.04672897196261682,0.3515541264737405,0.8903508771929828,0.38095238095238065,0.3167898627243926,0.5111687001192553,0.2253452871335102,0.6740088105726859,0.7826086956521738,0.0
0.05607476635514019,0.35209003215434087,0.8881578947368421,0.39285714285714285,0.323829637451605,0.5247225025227047,0.2275260479767378,0.6730715156059609,0.7826086956521738,0.0
0.205607476635514,0.35262593783494117,0.8859649122807013,0.40476190476190493,0.3312214009151744,0.5184845427025035,0.2367337048703677,0.6730715156059609,0.7826086956521738,0.0
